,Okres,Počet všetkých obyvateľov,Počet obyvateľov dorast,Odbor péče,Počet poskytovateľov,Okres-kategoria,Počet všetkých obyvateľov (norm)
0,Benešov,99742,16757,zubní lékařství,79.0,Malý,0.04781424029289912
1,Benešov,99742,16757,všeobecné praktické lékařství,62.0,Malý,0.04781424029289912
2,Benešov,99742,16757,kardiologie,6.0,Malý,0.04781424029289912
3,Benešov,99742,16757,ortopedie a traumatologie pohybového ústrojí,10.0,Malý,0.04781424029289912
4,Benešov,99742,16757,Optometrista,2.0,Malý,0.04781424029289912
5,Benešov,99742,16757,praktické lékařství pro děti a dorost,30.0,Malý,0.04781424029289912
6,Benešov,99742,16757,chirurgie,11.0,Malý,0.04781424029289912
7,Benešov,99742,16757,dětské lékařství,2.0,Malý,0.04781424029289912
8,Beroun,96403,17267,všeobecné praktické lékařství,53.0,Malý,0.045240581944310625
9,Beroun,96403,17267,zubní lékařství,69.0,Malý,0.045240581944310625
10,Beroun,96403,17267,chirurgie,17.0,Malý,0.045240581944310625
11,Beroun,96403,17267,ortopedie a traumatologie pohybového ústrojí,12.0,Malý,0.045240581944310625
12,Beroun,96403,17267,kardiologie,10.0,Malý,0.045240581944310625
13,Beroun,96403,17267,Optometrista,7.0,Malý,0.045240581944310625
14,Beroun,96403,17267,praktické lékařství pro děti a dorost,22.0,Malý,0.045240581944310625
15,Beroun,96403,17267,dětské lékařství,5.0,Malý,0.045240581944310625
16,Blansko,109104,18098,všeobecné praktické lékařství,73.0,Stredný,0.05503034974467675
17,Blansko,109104,18098,praktické lékařství pro děti a dorost,22.0,Stredný,0.05503034974467675
18,Blansko,109104,18098,Optometrista,9.0,Stredný,0.05503034974467675
19,Blansko,109104,18098,zubní lékařství,54.0,Stredný,0.05503034974467675
20,Blansko,109104,18098,chirurgie,9.0,Stredný,0.05503034974467675
21,Blansko,109104,18098,kardiologie,5.0,Stredný,0.05503034974467675
22,Blansko,109104,18098,dětské lékařství,10.0,Stredný,0.05503034974467675
23,Blansko,109104,18098,ortopedie a traumatologie pohybového ústrojí,18.0,Stredný,0.05503034974467675
